rainfall_mm,flood_index,alert_count_on_route,active_landslide_alerts,road_disruption_count,historical_risk_score,vehicle_type_weight,risk_level
118.27,0.68,0,0,0,0.376,1.2,MEDIUM
91.05,0.595,5,0,0,0.275,0.9,MEDIUM
88.48,0.374,1,0,0,0.1,1.6,LOW
120.88,0.52,3,0,0,0.309,1.8,MEDIUM
53.34,0.388,2,0,0,0.359,1.0,LOW
20.62,0.352,1,2,0,0.278,1.2,MEDIUM
150.3,0.592,3,0,2,0.358,1.0,MEDIUM
19.2,0.148,2,0,2,0.438,0.9,LOW
56.13,0.389,2,1,0,0.408,1.3,MEDIUM
62.42,0.244,6,1,0,0.442,1.8,MEDIUM
25.08,0.316,0,0,1,0.227,0.9,LOW
119.14,0.503,0,0,0,0.324,1.2,MEDIUM
87.96,0.311,0,0,0,0.608,0.9,LOW
78.18,0.483,3,0,0,0.525,1.6,MEDIUM
99.32,0.602,0,1,0,0.137,1.8,MEDIUM
100.67,0.607,4,0,0,0.023,1.0,MEDIUM
101.86,0.43,1,0,1,0.097,1.0,MEDIUM
62.07,0.223,5,1,2,0.391,1.6,MEDIUM
139.85,0.574,0,0,0,0.288,1.8,MEDIUM
53.45,0.21,4,1,1,0.22,0.8,MEDIUM
96.08,0.556,0,0,0,0.699,0.8,MEDIUM
140.18,0.509,1,0,2,0.638,1.6,MEDIUM
90.99,0.455,3,0,0,0.578,1.2,MEDIUM
98.28,0.388,1,0,1,0.038,0.9,MEDIUM
20.51,0.111,0,0,0,0.142,1.3,LOW
78.05,0.456,1,1,0,0.538,0.8,MEDIUM
204.99,0.782,4,0,0,0.206,1.6,HIGH
110.24,0.624,2,0,0,0.639,0.9,MEDIUM
90.11,0.333,0,1,2,0.188,1.6,MEDIUM
136.39,0.527,3,2,1,0.342,0.8,HIGH
108.68,0.382,1,0,1,0.591,1.3,MEDIUM
74.11,0.353,2,0,0,0.609,1.8,MEDIUM
73.4,0.453,3,1,0,0.666,1.3,MEDIUM
111.63,0.523,5,1,0,0.315,1.3,MEDIUM
54.1,0.308,0,0,0,0.533,1.8,LOW
161.55,0.768,4,0,0,0.193,1.0,HIGH
85.48,0.517,2,0,0,0.32,1.0,MEDIUM
159.27,0.577,0,2,2,0.257,1.0,HIGH
33.85,0.4,3,1,0,0.387,0.9,MEDIUM
185.32,0.807,1,2,1,0.327,1.8,HIGH
65.35,0.483,0,0,0,0.374,1.2,LOW
153.15,0.64,2,0,0,0.642,1.3,MEDIUM
22.17,0.282,0,0,0,0.549,1.2,LOW
143.58,0.664,4,0,0,0.509,1.0,MEDIUM
111.2,0.663,0,2,0,0.273,1.6,MEDIUM
48.36,0.188,1,0,0,0.354,1.2,LOW
40.63,0.388,2,1,0,0.658,0.9,MEDIUM
30.88,0.305,2,0,0,0.297,0.8,LOW
42.61,0.246,0,1,1,0.243,1.3,LOW
160.8,0.754,1,1,0,0.194,1.6,MEDIUM
34.46,0.395,3,0,0,0.407,0.9,LOW
121.86,0.476,2,2,0,0.32,1.3,MEDIUM
156.06,0.832,0,0,0,0.213,0.9,MEDIUM
204.5,0.918,1,0,0,0.098,1.3,MEDIUM
129.54,0.478,0,0,0,0.152,1.8,MEDIUM
80.04,0.539,1,0,1,0.475,1.2,MEDIUM
91.06,0.56,1,0,1,0.315,1.6,MEDIUM
95.56,0.378,3,0,2,0.047,0.9,MEDIUM
155.71,0.665,1,0,0,0.216,1.6,MEDIUM
54.87,0.485,4,1,2,0.043,0.8,MEDIUM
71.92,0.445,0,0,2,0.274,1.8,MEDIUM
131.24,0.506,1,1,2,0.172,1.3,MEDIUM
114.7,0.422,2,0,0,0.324,1.0,MEDIUM
151.3,0.79,2,0,0,0.301,1.8,MEDIUM
15.36,0.285,1,0,0,0.242,0.8,LOW
150.05,0.638,6,0,2,0.087,0.8,HIGH
79.44,0.573,1,2,0,0.54,1.0,MEDIUM
138.65,0.55,0,0,0,0.135,0.9,MEDIUM
41.29,0.289,6,0,0,0.233,0.9,MEDIUM
206.17,0.765,5,0,0,0.361,1.8,HIGH
32.25,0.242,1,0,0,0.535,1.2,LOW
136.82,0.484,5,0,1,0.718,1.3,MEDIUM
29.01,0.168,6,1,0,0.117,1.8,MEDIUM
126.69,0.558,5,1,0,0.365,1.2,HIGH
191.66,0.945,0,0,1,0.466,1.0,MEDIUM
40.04,0.365,0,0,1,0.226,1.3,LOW
103.17,0.365,2,0,0,0.552,0.9,MEDIUM
92.77,0.444,0,0,1,0.144,1.3,MEDIUM
182.53,0.679,2,0,0,0.557,0.9,MEDIUM
20.11,0.348,0,0,1,0.449,1.0,LOW
60.51,0.491,0,1,0,0.364,1.2,MEDIUM
209.46,0.956,0,0,1,0.55,1.6,HIGH
59.01,0.335,1,1,0,0.376,0.8,MEDIUM
127.25,0.719,3,0,0,0.213,1.2,MEDIUM
87.51,0.569,2,0,0,0.067,1.0,MEDIUM
35.61,0.326,0,0,0,0.229,1.0,LOW
108.28,0.389,2,1,1,0.299,1.6,MEDIUM
109.43,0.535,0,0,1,0.259,1.0,MEDIUM
39.78,0.205,2,0,0,0.163,1.2,LOW
66.16,0.493,0,0,1,0.205,1.2,LOW
71.38,0.348,2,0,1,0.282,1.8,MEDIUM
25.05,0.261,0,0,2,0.208,1.0,LOW
168.46,0.641,4,0,0,0.321,1.2,MEDIUM
57.67,0.436,3,0,0,0.405,0.8,MEDIUM
118.26,0.492,5,0,0,0.463,0.9,MEDIUM
83.57,0.358,3,0,0,0.258,1.2,MEDIUM
84.22,0.489,3,0,1,0.061,1.6,MEDIUM
128.93,0.618,6,0,0,0.291,0.9,MEDIUM
42.13,0.214,1,1,0,0.236,1.3,LOW
133.16,0.526,2,0,0,0.267,1.2,MEDIUM
62.38,0.304,2,0,0,0.765,1.2,LOW
40.95,0.315,3,0,0,0.204,1.0,LOW
51.47,0.335,0,0,0,0.579,0.9,LOW
19.67,0.359,0,0,0,0.122,0.9,LOW
50.51,0.183,1,0,1,0.397,1.0,LOW
37.42,0.218,4,0,0,0.232,0.9,LOW
126.59,0.471,0,0,0,0.453,1.3,MEDIUM
48.21,0.289,3,0,3,0.131,1.8,MEDIUM
78.6,0.408,3,0,0,0.123,1.3,MEDIUM
156.32,0.738,1,1,0,0.261,0.9,MEDIUM
78.17,0.459,3,0,2,0.065,0.9,MEDIUM
90.63,0.323,0,1,0,0.269,1.3,MEDIUM
131.09,0.695,1,0,0,0.27,1.0,MEDIUM
84.94,0.507,2,0,0,0.2,1.2,MEDIUM
38.94,0.353,1,0,1,0.328,1.6,LOW
140.23,0.501,2,1,0,0.025,1.3,MEDIUM
103.28,0.627,4,1,0,0.295,0.9,MEDIUM
69.32,0.523,3,0,0,0.143,1.6,MEDIUM
22.39,0.297,1,0,0,0.227,1.0,LOW
149.95,0.589,1,0,0,0.412,1.2,MEDIUM
68.24,0.509,4,0,1,0.612,0.9,MEDIUM
85.09,0.496,1,0,0,0.841,1.6,MEDIUM
70.59,0.387,0,1,2,0.252,1.6,MEDIUM
55.08,0.263,0,0,0,0.336,1.0,LOW
138.14,0.496,2,1,0,0.36,1.3,MEDIUM
181.48,0.718,0,0,1,0.229,1.3,MEDIUM
58.91,0.503,0,0,2,0.183,1.2,MEDIUM
158.2,0.645,3,1,0,0.291,1.2,MEDIUM
62.28,0.312,0,0,2,0.482,1.8,LOW
171.13,0.722,0,0,0,0.101,1.3,MEDIUM
79.98,0.373,0,0,1,0.319,1.2,MEDIUM
102.65,0.58,0,0,0,0.339,0.8,MEDIUM
57.13,0.39,1,0,0,0.564,0.8,LOW
131.73,0.628,3,0,1,0.438,1.3,MEDIUM
15.39,0.309,4,1,0,0.283,1.6,MEDIUM
88.17,0.552,0,0,0,0.035,1.3,MEDIUM
165.61,0.73,1,0,1,0.416,1.0,MEDIUM
40.79,0.313,0,0,0,0.43,0.8,LOW
33.21,0.408,2,0,0,0.754,1.6,LOW
9.68,0.308,3,0,1,0.168,1.0,LOW
62.38,0.479,1,2,0,0.561,1.8,MEDIUM
31.74,0.254,0,0,1,0.532,1.3,LOW
98.9,0.617,4,0,0,0.447,0.9,MEDIUM
112.38,0.472,0,0,0,0.209,1.3,MEDIUM
8.91,0.302,0,1,0,0.375,1.6,LOW
35.64,0.362,2,1,1,0.221,1.3,MEDIUM
147.01,0.517,0,1,0,0.157,0.9,MEDIUM
16.49,0.099,1,0,0,0.471,1.6,LOW
65.81,0.481,1,0,0,0.15,1.6,LOW
78.11,0.461,1,2,1,0.307,1.3,MEDIUM
152.89,0.646,2,0,1,0.408,1.8,MEDIUM
81.15,0.484,3,0,0,0.288,1.3,MEDIUM
37.53,0.219,1,0,2,0.205,1.2,LOW
14.0,0.286,4,0,1,0.626,1.2,LOW
21.78,0.146,5,0,3,0.477,0.8,MEDIUM
79.64,0.501,3,0,1,0.3,1.0,MEDIUM
34.27,0.338,0,0,0,0.307,1.0,LOW
178.92,0.833,1,0,0,0.312,0.8,MEDIUM
119.03,0.504,2,0,0,0.305,1.3,MEDIUM
90.05,0.444,2,1,2,0.362,0.9,MEDIUM
150.37,0.776,0,1,0,0.347,0.8,MEDIUM
134.16,0.652,1,0,0,0.219,1.6,MEDIUM
119.34,0.543,2,0,0,0.498,1.3,MEDIUM
63.49,0.35,5,1,0,0.268,0.9,MEDIUM
61.81,0.357,0,0,1,0.507,1.0,LOW
28.95,0.163,2,1,3,0.508,1.0,MEDIUM
90.3,0.545,0,0,0,0.375,1.0,MEDIUM
114.86,0.441,0,0,0,0.273,0.8,MEDIUM
115.59,0.652,0,2,1,0.261,1.8,HIGH
83.24,0.342,5,1,0,0.107,0.9,MEDIUM
67.65,0.495,3,1,0,0.531,1.0,MEDIUM
22.35,0.224,3,1,0,0.172,1.8,LOW
128.42,0.614,0,3,0,0.528,1.2,HIGH
88.82,0.376,3,0,0,0.481,1.6,MEDIUM
26.81,0.359,2,1,0,0.123,1.0,LOW
92.79,0.421,1,0,0,0.185,1.3,MEDIUM
70.28,0.285,3,0,1,0.105,0.8,LOW
81.22,0.464,0,0,1,0.247,0.8,MEDIUM
84.01,0.343,0,2,1,0.446,0.8,MEDIUM
26.63,0.125,4,0,0,0.358,0.9,LOW
25.51,0.234,1,1,0,0.078,1.6,LOW
100.15,0.421,1,0,1,0.113,1.8,MEDIUM
56.96,0.421,1,0,0,0.108,0.9,LOW
10.91,0.262,0,1,1,0.427,1.3,LOW
37.77,0.3,2,0,0,0.716,1.8,LOW
66.58,0.473,0,0,0,0.298,0.9,LOW
57.92,0.454,3,0,1,0.559,1.0,MEDIUM
77.94,0.552,2,0,2,0.491,0.8,MEDIUM
83.66,0.363,2,0,3,0.592,0.8,MEDIUM
53.06,0.449,0,0,0,0.332,1.2,LOW
52.63,0.424,2,0,0,0.309,1.8,MEDIUM
15.4,0.324,1,0,0,0.299,1.0,LOW
101.29,0.52,0,0,1,0.38,1.3,MEDIUM
110.5,0.648,1,1,0,0.372,1.8,MEDIUM
47.14,0.405,1,1,1,0.246,0.8,MEDIUM
149.89,0.796,1,0,2,0.433,0.8,MEDIUM
82.86,0.504,4,0,0,0.144,1.6,MEDIUM
44.59,0.199,1,1,0,0.165,1.3,LOW
122.05,0.726,0,0,0,0.109,0.9,MEDIUM
147.07,0.721,1,0,0,0.612,0.8,MEDIUM
30.71,0.24,0,0,0,0.556,1.3,LOW
68.93,0.253,1,0,1,0.292,1.8,LOW
89.65,0.323,1,0,0,0.332,1.6,MEDIUM
44.93,0.425,3,0,0,0.408,1.8,LOW
52.25,0.482,0,0,0,0.432,1.8,LOW
32.04,0.377,2,0,3,0.202,1.8,MEDIUM
157.74,0.564,0,0,0,0.698,1.3,MEDIUM
158.2,0.685,0,1,0,0.284,1.6,MEDIUM
117.73,0.504,7,0,0,0.181,1.6,MEDIUM
153.86,0.581,0,3,0,0.213,1.8,HIGH
37.9,0.285,2,1,2,0.303,1.3,MEDIUM
82.59,0.561,4,3,0,0.304,1.6,HIGH
28.53,0.124,2,0,0,0.081,1.6,LOW
14.6,0.163,2,0,0,0.089,1.6,LOW
79.05,0.523,1,0,2,0.29,1.3,MEDIUM
77.89,0.451,1,0,0,0.81,1.2,MEDIUM
41.47,0.24,1,0,0,0.352,0.9,LOW
171.57,0.707,4,1,0,0.19,1.6,HIGH
85.79,0.561,4,0,0,0.349,0.9,MEDIUM
32.12,0.163,2,0,1,0.69,0.8,LOW
114.41,0.659,0,2,0,0.235,1.8,MEDIUM
83.6,0.399,4,0,1,0.138,1.0,MEDIUM
54.7,0.374,3,2,0,0.387,1.0,MEDIUM
36.99,0.177,0,1,1,0.812,1.6,MEDIUM
37.42,0.365,1,1,0,0.345,0.9,LOW
75.66,0.331,1,1,1,0.343,1.6,MEDIUM
120.46,0.427,0,3,0,0.612,0.9,MEDIUM
74.35,0.449,2,0,0,0.148,1.6,MEDIUM
77.1,0.294,0,0,1,0.135,1.0,LOW
99.43,0.614,2,0,0,0.594,1.3,MEDIUM
29.99,0.3,3,0,0,0.208,1.0,LOW
139.12,0.693,4,1,2,0.421,1.8,HIGH
13.21,0.13,0,0,2,0.244,1.8,LOW
124.02,0.615,2,0,1,0.161,0.8,MEDIUM
58.37,0.433,1,1,0,0.318,1.6,MEDIUM
124.69,0.674,1,0,0,0.74,0.8,MEDIUM
72.72,0.552,6,0,0,0.272,1.2,MEDIUM
126.43,0.667,2,1,0,0.259,1.3,MEDIUM
58.92,0.261,1,0,0,0.122,0.9,LOW
12.7,0.093,0,1,1,0.221,0.9,LOW
66.52,0.285,0,0,0,0.073,1.8,LOW
24.42,0.257,3,0,0,0.359,1.3,LOW
189.8,0.914,1,0,0,0.48,1.2,MEDIUM
24.24,0.376,1,0,1,0.208,0.8,LOW
111.4,0.612,1,0,0,0.205,0.9,MEDIUM
109.75,0.407,0,0,2,0.199,1.3,MEDIUM
147.83,0.771,1,1,0,0.388,1.8,HIGH
111.76,0.416,2,0,1,0.225,0.8,MEDIUM
171.94,0.874,2,1,0,0.048,1.3,HIGH
124.12,0.614,4,0,1,0.038,0.8,MEDIUM
37.14,0.265,0,0,0,0.258,0.8,LOW
154.94,0.64,2,0,0,0.38,0.8,MEDIUM
96.73,0.381,1,1,0,0.309,1.8,MEDIUM
118.42,0.624,2,0,0,0.34,1.6,MEDIUM
54.87,0.326,1,0,0,0.429,0.8,LOW
98.4,0.618,3,1,0,0.605,1.3,MEDIUM
52.63,0.441,2,1,1,0.179,1.0,MEDIUM
131.93,0.548,3,3,1,0.203,1.3,HIGH
78.51,0.317,2,0,0,0.464,0.9,MEDIUM
130.33,0.467,1,0,0,0.381,1.2,MEDIUM
93.43,0.605,2,0,0,0.411,1.6,MEDIUM
27.91,0.184,0,1,0,0.629,1.2,LOW
118.79,0.711,1,0,0,0.108,1.3,MEDIUM
91.78,0.357,4,0,0,0.283,1.0,MEDIUM
141.33,0.72,0,0,0,0.651,1.2,MEDIUM
151.34,0.602,4,0,0,0.325,1.2,MEDIUM
146.06,0.585,4,0,0,0.333,1.8,MEDIUM
111.94,0.474,0,0,0,0.04,1.8,MEDIUM
37.77,0.382,0,0,0,0.261,1.6,LOW
34.91,0.329,0,0,1,0.395,1.8,LOW
130.91,0.59,3,3,0,0.229,1.8,HIGH
135.96,0.693,0,0,0,0.492,0.9,MEDIUM
64.62,0.256,1,1,0,0.439,0.8,MEDIUM
58.42,0.365,0,1,0,0.342,1.2,MEDIUM
29.03,0.228,1,1,0,0.361,1.0,LOW
28.43,0.163,2,0,0,0.618,1.0,LOW
145.88,0.804,2,0,0,0.11,1.3,MEDIUM
50.5,0.422,4,0,0,0.149,0.8,LOW
121.35,0.455,3,0,1,0.167,1.2,MEDIUM
49.92,0.315,0,1,0,0.27,1.0,LOW
152.77,0.643,0,0,2,0.148,1.8,MEDIUM
173.59,0.669,0,0,2,0.253,0.8,MEDIUM
107.75,0.4,5,1,3,0.087,0.8,HIGH
54.15,0.374,0,0,0,0.448,1.8,LOW
86.8,0.513,2,0,0,0.519,1.8,MEDIUM
109.0,0.651,1,0,0,0.466,1.8,MEDIUM
105.25,0.512,1,0,1,0.14,1.6,MEDIUM
54.79,0.237,0,0,0,0.302,1.8,LOW
27.87,0.298,1,1,0,0.072,1.8,LOW
17.63,0.302,2,1,1,0.364,1.6,MEDIUM
80.08,0.55,1,0,0,0.303,0.8,MEDIUM
69.12,0.458,1,0,2,0.343,1.0,MEDIUM
43.2,0.392,1,1,1,0.186,1.2,MEDIUM
46.1,0.238,5,0,0,0.362,0.9,LOW
142.33,0.535,0,0,1,0.144,1.6,MEDIUM
117.8,0.611,3,2,0,0.353,1.3,HIGH
32.05,0.185,5,0,0,0.109,1.6,LOW
86.3,0.387,0,0,0,0.491,1.6,MEDIUM
100.94,0.483,0,0,0,0.172,1.0,MEDIUM
31.99,0.309,5,0,0,0.459,1.6,MEDIUM
66.99,0.309,3,0,2,0.383,1.8,MEDIUM
64.85,0.41,0,0,0,0.391,1.3,LOW
15.07,0.169,1,2,0,0.451,0.8,LOW
29.82,0.276,2,0,2,0.389,0.9,LOW
51.76,0.312,0,0,0,0.366,1.2,LOW
19.93,0.243,6,0,1,0.385,1.3,MEDIUM
73.1,0.37,3,0,0,0.284,1.2,MEDIUM
113.7,0.63,1,1,0,0.16,0.8,MEDIUM
69.47,0.349,0,0,0,0.532,0.9,LOW
77.93,0.38,7,0,0,0.709,1.6,MEDIUM
32.61,0.153,4,0,2,0.221,1.0,LOW
174.65,0.892,0,0,0,0.26,1.3,MEDIUM
45.45,0.327,0,0,2,0.104,1.8,LOW
134.38,0.674,1,0,0,0.256,1.2,MEDIUM
99.62,0.63,1,1,0,0.559,1.3,MEDIUM
154.35,0.643,3,0,1,0.277,1.6,MEDIUM
181.51,0.845,1,0,0,0.868,1.6,HIGH
103.1,0.62,1,0,3,0.065,1.2,MEDIUM
168.96,0.739,0,0,1,0.328,1.6,MEDIUM
118.73,0.695,1,0,1,0.457,1.6,MEDIUM
32.5,0.329,0,0,0,0.309,1.3,LOW
44.25,0.337,0,1,0,0.466,1.6,LOW
125.88,0.707,3,0,0,0.111,0.8,MEDIUM
17.16,0.153,1,0,0,0.398,1.8,LOW
125.14,0.637,6,0,1,0.492,0.8,HIGH
116.52,0.42,2,0,0,0.207,1.8,MEDIUM
7.61,0.19,3,0,0,0.06,1.6,LOW
46.25,0.179,0,0,0,0.717,1.3,LOW
57.62,0.279,1,0,0,0.575,1.8,LOW
35.41,0.34,0,1,3,0.438,1.2,MEDIUM
86.41,0.315,2,1,0,0.513,0.8,MEDIUM
102.51,0.411,1,0,0,0.508,0.8,MEDIUM
126.02,0.465,3,0,0,0.207,1.3,MEDIUM
67.37,0.256,0,0,1,0.365,1.3,LOW
88.94,0.561,4,0,0,0.502,0.9,MEDIUM
129.53,0.676,1,0,2,0.303,0.8,MEDIUM
22.47,0.324,0,0,2,0.159,0.8,LOW
65.41,0.234,2,0,1,0.285,1.0,MEDIUM
15.94,0.227,2,0,0,0.545,1.6,LOW
48.64,0.381,2,1,0,0.642,0.8,MEDIUM
136.63,0.549,3,0,0,0.42,1.6,MEDIUM
87.2,0.596,1,3,1,0.122,0.8,MEDIUM
99.74,0.42,0,0,1,0.353,1.8,MEDIUM
90.34,0.451,0,0,0,0.328,0.9,MEDIUM
165.31,0.737,0,0,0,0.494,1.3,MEDIUM
178.48,0.924,1,0,0,0.033,1.2,MEDIUM
39.65,0.293,2,0,3,0.287,1.2,MEDIUM
54.93,0.409,0,0,0,0.647,1.2,LOW
75.88,0.433,4,2,1,0.671,1.0,MEDIUM
26.75,0.15,2,0,1,0.255,1.6,LOW
69.0,0.424,3,0,0,0.126,1.2,MEDIUM
82.78,0.295,0,0,0,0.127,1.2,LOW
20.05,0.196,3,0,0,0.231,1.3,LOW
112.04,0.548,1,0,1,0.587,1.2,MEDIUM
116.58,0.521,0,0,0,0.389,0.9,MEDIUM
97.81,0.58,0,0,2,0.228,1.3,MEDIUM
147.46,0.531,0,0,0,0.185,1.3,MEDIUM
20.34,0.188,2,1,1,0.629,0.8,MEDIUM
142.63,0.645,0,3,1,0.113,1.3,HIGH
44.99,0.315,0,1,0,0.321,1.2,LOW
134.05,0.636,0,0,1,0.684,1.8,MEDIUM
101.28,0.446,0,0,3,0.357,1.6,MEDIUM
138.1,0.705,0,0,1,0.265,1.0,MEDIUM
203.45,0.931,2,1,1,0.387,1.6,HIGH
182.72,0.784,1,0,1,0.384,0.8,MEDIUM
102.04,0.637,1,0,0,0.461,1.3,MEDIUM
80.8,0.295,3,0,2,0.033,0.9,MEDIUM
5.35,0.078,6,1,1,0.103,0.9,LOW
50.36,0.467,3,2,0,0.108,0.8,MEDIUM
43.64,0.38,5,0,0,0.295,1.6,MEDIUM
70.34,0.539,4,0,3,0.389,1.6,MEDIUM
32.96,0.261,0,0,1,0.362,1.2,LOW
28.48,0.31,5,0,0,0.261,1.3,LOW
62.38,0.487,1,0,0,0.178,0.8,LOW
72.48,0.482,1,1,0,0.243,1.6,MEDIUM
56.65,0.28,1,1,0,0.262,1.3,LOW
42.06,0.372,0,0,0,0.358,1.6,LOW
97.29,0.441,0,0,0,0.418,1.6,MEDIUM
61.6,0.253,0,2,0,0.461,1.6,MEDIUM
133.58,0.645,2,0,0,0.315,1.0,MEDIUM
174.19,0.804,1,1,0,0.485,1.2,HIGH
86.69,0.357,0,0,0,0.264,1.6,LOW
19.71,0.121,2,0,0,0.197,0.8,LOW
126.41,0.659,4,1,0,0.423,1.6,HIGH
119.46,0.579,1,0,1,0.055,1.2,MEDIUM
38.19,0.216,1,2,0,0.194,1.2,MEDIUM
135.43,0.504,0,1,1,0.129,0.9,MEDIUM
34.81,0.15,3,0,1,0.191,1.8,LOW
112.81,0.531,2,0,0,0.299,1.6,MEDIUM
35.89,0.213,3,0,0,0.471,0.9,LOW
23.19,0.195,1,0,0,0.071,1.0,LOW
54.6,0.435,2,0,0,0.696,1.0,MEDIUM
142.28,0.676,1,0,3,0.26,1.0,MEDIUM
87.43,0.554,2,1,1,0.315,0.8,MEDIUM
149.39,0.717,0,0,0,0.703,1.0,MEDIUM
71.1,0.47,3,2,1,0.266,1.3,MEDIUM
73.73,0.521,3,1,0,0.442,1.0,MEDIUM
